year,city,country,avg_temp
1938,Lagos,Nigeria,26.82
1939,Lagos,Nigeria,26.39
1940,Lagos,Nigeria,26.81
1941,Lagos,Nigeria,27.36
1942,Lagos,Nigeria,26.95
1943,Lagos,Nigeria,26.53
1944,Lagos,Nigeria,27.07
1945,Lagos,Nigeria,27.07
1946,Lagos,Nigeria,26.72
1947,Lagos,Nigeria,26.98
1948,Lagos,Nigeria,26.61
1949,Lagos,Nigeria,26.98
1950,Lagos,Nigeria,26.57
1951,Lagos,Nigeria,26.89
1952,Lagos,Nigeria,26.66
1953,Lagos,Nigeria,26.66
1954,Lagos,Nigeria,26.28
1955,Lagos,Nigeria,26.42
1956,Lagos,Nigeria,26.31
1957,Lagos,Nigeria,26.65
1958,Lagos,Nigeria,26.68
1959,Lagos,Nigeria,26.72
1960,Lagos,Nigeria,26.68
1961,Lagos,Nigeria,26.46
1962,Lagos,Nigeria,26.55
1963,Lagos,Nigeria,27.01
1964,Lagos,Nigeria,26.48
1965,Lagos,Nigeria,26.53
1966,Lagos,Nigeria,26.84
1967,Lagos,Nigeria,26.43
1968,Lagos,Nigeria,26.67
1969,Lagos,Nigeria,26.89
1970,Lagos,Nigeria,26.92
1971,Lagos,Nigeria,26.56
1972,Lagos,Nigeria,26.91
1973,Lagos,Nigeria,27.20
1974,Lagos,Nigeria,26.44
1975,Lagos,Nigeria,26.27
1976,Lagos,Nigeria,26.37
1977,Lagos,Nigeria,27.01
1978,Lagos,Nigeria,26.73
1979,Lagos,Nigeria,26.99
1980,Lagos,Nigeria,26.85
1981,Lagos,Nigeria,26.79
1982,Lagos,Nigeria,26.66
1983,Lagos,Nigeria,26.99
1984,Lagos,Nigeria,26.98
1985,Lagos,Nigeria,26.74
1986,Lagos,Nigeria,26.65
1987,Lagos,Nigeria,27.51
1988,Lagos,Nigeria,27.04
1989,Lagos,Nigeria,26.71
1990,Lagos,Nigeria,27.06
1991,Lagos,Nigeria,26.88
1992,Lagos,Nigeria,26.73
1993,Lagos,Nigeria,26.90
1994,Lagos,Nigeria,26.84
1995,Lagos,Nigeria,27.07
1996,Lagos,Nigeria,26.92
1997,Lagos,Nigeria,26.91
1998,Lagos,Nigeria,27.53
1999,Lagos,Nigeria,27.03
2000,Lagos,Nigeria,27.02
2001,Lagos,Nigeria,26.92
2002,Lagos,Nigeria,27.13
2003,Lagos,Nigeria,27.37
2004,Lagos,Nigeria,27.32
2005,Lagos,Nigeria,27.39
2006,Lagos,Nigeria,27.53
2007,Lagos,Nigeria,27.46
2008,Lagos,Nigeria,27.30
2009,Lagos,Nigeria,27.53
2010,Lagos,Nigeria,27.79
2011,Lagos,Nigeria,27.35
2012,Lagos,Nigeria,27.15
2013,Lagos,Nigeria,27.36
